127.0.0.1, 2018-05-10 23:43:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000334
127.0.0.1, 2018-05-10 23:43:51, GET, /admin/default/peek/sos/languages/default.py, HTTP/1.1, 200, 0.064382
127.0.0.1, 2018-05-10 23:43:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000274
127.0.0.1, 2018-05-10 23:57:28, GET, /, HTTP/1.1, 303, 0.014112
127.0.0.1, 2018-05-10 23:57:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.315700
127.0.0.1, 2018-05-10 23:57:32, GET, /admin/default/index, HTTP/1.1, 303, 0.206318
127.0.0.1, 2018-05-10 23:57:32, GET, /admin/default/site, HTTP/1.1, 200, 0.100687
127.0.0.1, 2018-05-10 23:57:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
127.0.0.1, 2018-05-11 12:50:17, GET, /, HTTP/1.1, 303, 0.012581
127.0.0.1, 2018-05-11 12:50:18, GET, /welcome/default/index, HTTP/1.1, 200, 1.075394
127.0.0.1, 2018-05-11 12:50:22, GET, /admin/default/design/sos, HTTP/1.1, 303, 0.520342
127.0.0.1, 2018-05-11 12:50:22, GET, /admin/default/index, HTTP/1.1, 200, 0.115472
127.0.0.1, 2018-05-11 12:50:23, GET, /favicon.ico, HTTP/1.1, 400, 0.001616
127.0.0.1, 2018-05-11 12:50:26, POST, /admin/default/index, HTTP/1.1, 303, 0.029504
127.0.0.1, 2018-05-11 12:50:26, GET, /admin/default/design/sos, HTTP/1.1, 200, 0.624275
127.0.0.1, 2018-05-11 12:50:26, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.044510
127.0.0.1, 2018-05-11 12:50:26, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.004953
127.0.0.1, 2018-05-11 12:50:26, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.004748
127.0.0.1, 2018-05-11 12:50:26, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.008631
127.0.0.1, 2018-05-11 12:50:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000501
127.0.0.1, 2018-05-11 12:50:30, GET, /admin/default/peek/sos/models/tables.py, HTTP/1.1, 200, 0.066953
127.0.0.1, 2018-05-11 12:50:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000402
127.0.0.1, 2018-05-11 12:51:35, GET, /admin/default/design/sos, HTTP/1.1, 200, 0.165184
127.0.0.1, 2018-05-11 12:51:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000265
127.0.0.1, 2018-05-11 12:51:38, GET, /admin/default/peek/sos/models/menu.py, HTTP/1.1, 200, 0.028905
127.0.0.1, 2018-05-11 12:51:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000464
127.0.0.1, 2018-05-11 13:05:40, GET, /admin/default/design/sos, HTTP/1.1, 200, 0.219186
127.0.0.1, 2018-05-11 13:05:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000702
127.0.0.1, 2018-05-11 13:05:44, GET, /admin/default/peek/sos/models/db.py, HTTP/1.1, 200, 0.032467
127.0.0.1, 2018-05-11 13:05:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000515
127.0.0.1, 2018-05-11 13:06:21, GET, /admin/default/design/sos, HTTP/1.1, 200, 0.169911
127.0.0.1, 2018-05-11 13:06:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000304
127.0.0.1, 2018-05-11 13:06:25, GET, /admin/default/peek/sos/controllers/appadmin.py, HTTP/1.1, 200, 0.150648
127.0.0.1, 2018-05-11 13:06:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000443
127.0.0.1, 2018-05-11 13:06:56, GET, /admin/default/design/sos, HTTP/1.1, 200, 0.503355
127.0.0.1, 2018-05-11 13:06:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000454
127.0.0.1, 2018-05-11 13:09:35, GET, /admin/default/peek/sos/controllers/default.py, HTTP/1.1, 200, 0.050388
127.0.0.1, 2018-05-11 13:09:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000338
127.0.0.1, 2018-05-11 13:10:18, GET, /admin/default/design/sos, HTTP/1.1, 200, 0.177062
127.0.0.1, 2018-05-11 13:10:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000379
127.0.0.1, 2018-05-11 13:26:04, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.013091
127.0.0.1, 2018-05-11 13:27:08, GET, /admin/default/peek/sos/views/default/add.html, HTTP/1.1, 200, 0.045151
127.0.0.1, 2018-05-11 13:27:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000532
127.0.0.1, 2018-05-11 13:27:40, GET, /admin/default/design/sos, HTTP/1.1, 200, 0.208740
127.0.0.1, 2018-05-11 13:27:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000365
127.0.0.1, 2018-05-11 13:28:01, GET, /admin/default/peek/sos/views/default/edit.html, HTTP/1.1, 200, 0.029702
127.0.0.1, 2018-05-11 13:28:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000653
127.0.0.1, 2018-05-11 13:28:19, GET, /admin/default/design/sos, HTTP/1.1, 200, 0.407296
127.0.0.1, 2018-05-11 13:28:20, GET, /favicon.ico, HTTP/1.1, 400, 0.001384
127.0.0.1, 2018-05-11 13:32:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000625
127.0.0.1, 2018-05-12 23:21:01, GET, /, HTTP/1.1, 303, 0.009820
127.0.0.1, 2018-05-12 23:21:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.421527
127.0.0.1, 2018-05-12 23:21:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.060015
127.0.0.1, 2018-05-12 23:21:02, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.136745
127.0.0.1, 2018-05-12 23:21:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.176269
127.0.0.1, 2018-05-12 23:21:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.085025
127.0.0.1, 2018-05-12 23:21:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.268078
127.0.0.1, 2018-05-12 23:21:02, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.292216
127.0.0.1, 2018-05-12 23:21:02, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.153708
127.0.0.1, 2018-05-12 23:21:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.256303
127.0.0.1, 2018-05-12 23:21:02, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.141152
127.0.0.1, 2018-05-12 23:21:02, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.145922
127.0.0.1, 2018-05-12 23:21:02, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.007026
127.0.0.1, 2018-05-12 23:21:02, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.004802
127.0.0.1, 2018-05-12 23:21:02, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.004770
127.0.0.1, 2018-05-12 23:21:06, GET, /admin/default/site, HTTP/1.1, 303, 0.439771
127.0.0.1, 2018-05-12 23:21:06, GET, /admin/default/index, HTTP/1.1, 200, 0.079583
127.0.0.1, 2018-05-12 23:21:06, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.013781
127.0.0.1, 2018-05-12 23:21:06, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.041422
127.0.0.1, 2018-05-12 23:21:06, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.051525
127.0.0.1, 2018-05-12 23:21:06, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.046490
127.0.0.1, 2018-05-12 23:21:06, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.077429
127.0.0.1, 2018-05-12 23:21:06, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.020738
127.0.0.1, 2018-05-12 23:21:06, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.005117
127.0.0.1, 2018-05-12 23:21:06, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.104816
127.0.0.1, 2018-05-12 23:21:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000511
127.0.0.1, 2018-05-12 23:21:09, POST, /admin/default/index, HTTP/1.1, 303, 0.028054
127.0.0.1, 2018-05-12 23:21:09, GET, /admin/default/site, HTTP/1.1, 200, 0.093569
127.0.0.1, 2018-05-12 23:21:09, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.003578
127.0.0.1, 2018-05-12 23:21:09, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.002852
127.0.0.1, 2018-05-12 23:21:09, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002679
127.0.0.1, 2018-05-12 23:21:10, POST, /admin/default/check_version, HTTP/1.1, 200, 0.446954
127.0.0.1, 2018-05-12 23:21:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000498
127.0.0.1, 2018-05-12 23:21:22, POST, /admin/default/site, HTTP/1.1, 303, 0.220126
127.0.0.1, 2018-05-12 23:21:22, GET, /admin/default/design/hw3, HTTP/1.1, 200, 0.525104
127.0.0.1, 2018-05-12 23:21:22, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.001524
127.0.0.1, 2018-05-12 23:21:22, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.001946
127.0.0.1, 2018-05-12 23:21:22, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.001681
127.0.0.1, 2018-05-12 23:21:22, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.002424
127.0.0.1, 2018-05-12 23:21:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000288
127.0.0.1, 2018-05-12 23:21:31, GET, /admin/default/peek/hw3/controllers/appadmin.py, HTTP/1.1, 200, 0.193443
127.0.0.1, 2018-05-12 23:21:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000546
127.0.0.1, 2018-05-12 23:21:50, GET, /admin/default/design/hw3, HTTP/1.1, 200, 0.129275
127.0.0.1, 2018-05-12 23:21:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000443
